"X.ppt_224428.","X.E5FXB3tr.Glycine.rich.RNA.binding.protein..Sequoia.sempervirens..California.redwood...Taxodium.sempervirens..","X.GO.0006397..GO.0051252..GO.0003729..GO.0005634..GO.1990904.","X.NO.H."
"ppt_123871","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_155452","---NA---","","HUB"
"ppt_218516","A0A061FCM9tr=DNA polymerase epsilon catalytic subunit A, putative  Theobroma cacao (Cacao) (Cocoa)","","HUB"
"ppt_115336","B8LMX8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0007165, GO:0043531","HUB"
"ppt_84521","---NA---","","HUB"
"ppt_138196","C0PQB7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_61331","A0A0C9RWX5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7749_2288 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_61328","A0A0C9RWX5tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7749_2288 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_121499","A0A0C9QS77tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12293_1471 transcribed RNA sequence  Wollemia nobilis","GO:0003676","HUB"
"ppt_252175","B8LKC3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_76946","Q39143tr=Light repressible receptor protein kinase  Arabidopsis thaliana (Mouse-ear cress)","GO:0006468, GO:0016310, GO:0004672, GO:0005524, GO:0016301, GO:0016020, GO:0016021","HUB"
"ppt_173465","---NA---","","HUB"
"ppt_126445","Q947C5sp=Non-symbiotic hemoglobin 1 Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)","GO:0015671, GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005737, GO:0016363","HUB"
"ppt_137047","A0A0B0MK84tr=L-ascorbate oxidase  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886","HUB"
"ppt_123874","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_150909","---NA---","","HUB"
"ppt_247136","V4SPX8tr=Uncharacterized protein  Citrus clementina","GO:0016020","HUB"
"ppt_71438","---NA---","","HUB"
"ppt_123884","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_130322","---NA---","","HUB"
"ppt_135755","X5CFI0tr=GA2ox3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0016491, GO:0046872","HUB"
"ppt_218513","A0A061FCM9tr=DNA polymerase epsilon catalytic subunit A, putative  Theobroma cacao (Cacao) (Cocoa)","","HUB"
"ppt_204110","A0A0B0N7L2tr=Protein RRNAD1  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0032259, GO:0008168, GO:0016740, GO:0005575","HUB"
"ppt_75895","---NA---","","HUB"
"ppt_121500","W9S5D1tr=Zinc finger protein ZAT4  Morus notabilis","GO:0003676","HUB"
"ppt_257564","A0A078HP97sp=Auxin efflux carrier component  Brassica napus (Rape)","GO:0009630, GO:0009734, GO:0009926, GO:0010015, GO:0010315, GO:0048364, GO:0055085, GO:0010329, GO:0016020, GO:0016021","HUB"
"ppt_247143","V4SPX8tr=Uncharacterized protein  Citrus clementina","GO:0016020","HUB"
"ppt_220652","A0A1C8M5K2tr=Polyamine oxidase 5  Malus domestica (Apple) (Pyrus malus)","GO:0016647","HUB"
"ppt_155215","A0A151U688tr=Protein timeless isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006259, GO:0048523, GO:0000228","HUB"
"ppt_41622","A9NW55tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0055085, GO:0000166, GO:0042626, GO:0005886, GO:0016021","HUB"
"ppt_236377","Q9LV11sp=ATPase 11, plasma membrane-type Arabidopsis thaliana (Mouse-ear cress)","GO:0009651, GO:0051453, GO:0120029, GO:0005524, GO:0008553, GO:0016887, GO:0046872, GO:0005886, GO:0016021","HUB"
"ppt_95642","---NA---","","HUB"
"ppt_253765","---NA---","","HUB"
"ppt_203183","---NA---","","HUB"
"ppt_230049","A0A0B2RSG0tr=High mobility group B protein 7  Glycine soja (Wild soybean)","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_237748","A0A078DZ77tr=BnaA10g16070D protein  Brassica napus (Rape)","GO:0016020, GO:0016021","HUB"
"ppt_120155","B2ZX90sp=Chromatin assembly factor 1 subunit FSM Oryza sativa subsp. japonica (Rice)","GO:0009888, GO:0009987, GO:0040007, GO:0048731, GO:0050789","HUB"
"ppt_144060","E9NZS6tr=Putative TIR-NBS-LRR protein  Pinus monticola (Western white pine) (Strobus monticola)","GO:0007165, GO:0043531","HUB"
"ppt_165119","---NA---","","HUB"
"ppt_270506","---NA---","","HUB"
"ppt_74190","A0A0K9P829tr=Laccase 11  Zostera marina (Eelgrass)","GO:0006826, GO:0055072, GO:0004322, GO:0005886","HUB"
"ppt_65841","A0A078G3Q3tr=BnaA05g20350D protein  Brassica napus (Rape)","GO:0031224","HUB"
"ppt_198738","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_202724","---NA---","","HUB"
"ppt_139003","C0PSC7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0015867, GO:0055085, GO:0005347, GO:0016021","HUB"
"ppt_28872","---NA---","","HUB"
"ppt_222558","D5AB91tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_226038","---NA---","","HUB"
"ppt_133954","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_123821","---NA---","","HUB"
"ppt_68779","---NA---","","HUB"
"ppt_188063","A9P158tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_37385","A0A072VLQ6tr=DNA replication factor CDT1-like protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0009987","HUB"
"ppt_119860","A9NTQ5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_183464","---NA---","","HUB"
"ppt_165310","X2D7C6sp=Ammonium transporter  Pinus pinaster (Maritime pine)","GO:0072488, GO:0008519, GO:0016021","HUB"
"ppt_190088","---NA---","","HUB"
"ppt_146755","A0A0C9RJ01tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_15217_1661 transcribed RNA sequence  Wollemia nobilis","GO:0016747","HUB"
"ppt_71436","---NA---","","HUB"
"ppt_246885","---NA---","","HUB"
"ppt_102014","---NA---","","HUB"
"ppt_230051","A0A0B2RSG0tr=High mobility group B protein 7  Glycine soja (Wild soybean)","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_42141","Q9CAR0sp=NAC transcription factor 32  Arabidopsis thaliana (Mouse-ear cress)","GO:0009793, GO:0045893, GO:1900057, GO:0003677, GO:0003700, GO:0005515, GO:0005634","HUB"
"ppt_22305","A9P158tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_250365","A0A118K034tr=Exostosin-like protein  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006486, GO:0016757, GO:0016020, GO:0016021","HUB"
"ppt_95415","A0A0C9RSS8sp=Glycosyltransferase  Wollemia nobilis","GO:0008194","HUB"
"ppt_155217","A0A151U688tr=Protein timeless isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006259, GO:0048523, GO:0000228","HUB"
"ppt_143494","A0A151RTN0tr=Putative spermidine synthase  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006596, GO:0009926, GO:0048759, GO:0010487, GO:0016768, GO:0005737","HUB"
"ppt_201453","---NA---","","HUB"
"ppt_123877","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_198732","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_140791","A9P1N3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_181980","---NA---","","HUB"
"ppt_124857","D8T797tr=ATP-binding cassette transporter  Selaginella moellendorffii (Spikemoss)","GO:0005524, GO:0016887, GO:0016021","HUB"
"ppt_218481","---NA---","","HUB"
"ppt_152850","B8LQ56tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_155216","A0A151U688tr=Protein timeless isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006259, GO:0048523, GO:0000228","HUB"
"ppt_239115","W9S5C1tr=ABC transporter G family member 22  Morus notabilis","GO:0006810, GO:0005524, GO:0016887, GO:0016021","HUB"
"ppt_251139","O24247tr=Small heat shock protein  Picea abies (Norway spruce) (Picea excelsa)","","HUB"
"ppt_123863","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_128728","---NA---","","HUB"
"ppt_155984","---NA---","","HUB"
"ppt_159523","Q10PL5sp=Inositol-tetrakisphosphate 1-kinase 2  Oryza sativa subsp. japonica (Rice)","GO:0047484, GO:0052746, GO:0000166, GO:0046872, GO:0047325, GO:0052725, GO:0052726, GO:0005829","HUB"
"ppt_153442","A9P1E8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_103620","D7TIT6tr=Putative uncharacterized protein  Vitis vinifera (Grape)","GO:0006511, GO:0016567, GO:0046872, GO:0061630, GO:0005634","HUB"
"ppt_144061","Q8L8J0tr=TIR/P-loop/LRR  Pinus taeda (Loblolly pine)","GO:0007165","HUB"
"ppt_46902","A0A067KXE6sp=GATA transcription factor  Jatropha curcas (Barbados nut)","GO:0003677","HUB"
"ppt_155883","---NA---","","HUB"
"ppt_152847","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_194440","A0A072U9M9tr=Seed maturation protein PM39, putative  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0009737","HUB"
"ppt_155214","A0A151U688tr=Protein timeless isogeny  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006259, GO:0048523, GO:0000228","HUB"
"ppt_114573","A0A0C9SAD4tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_4087_1515 transcribed RNA sequence  Wollemia nobilis","GO:0008270","HUB"
"ppt_218790","Q9ZSE0tr=PrMC3  Pinus radiata (Monterey pine) (Pinus insignis)","GO:0016787","HUB"
"ppt_173788","---NA---","","HUB"
"ppt_56272","---NA---","","HUB"
"ppt_119589","B8LM88tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_108305","B8LPQ2tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_185924","---NA---","","HUB"
"ppt_123886","B8LKB6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006629","HUB"
"ppt_239114","W9S5C1tr=ABC transporter G family member 22  Morus notabilis","GO:0006810, GO:0005524, GO:0016887, GO:0016021","HUB"
"ppt_97641","---NA---","","HUB"
"ppt_175604","EnsemblPlants:GLYMA08G07450.2} Glycine max (Soybean) (Glycine hispida)","GO:0016757","HUB"
"ppt_239108","W9S5C1tr=ABC transporter G family member 22  Morus notabilis","GO:0006810, GO:0005524, GO:0016887, GO:0016021","HUB"
"ppt_126448","Q947C5sp=Non-symbiotic hemoglobin 1 Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)","GO:0015671, GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005634, GO:0005737, GO:0016363","HUB"
"ppt_211263","A0A061EKJ1tr=Eukaryotic aspartyl protease family protein isoform 1  Theobroma cacao (Cacao) (Cocoa)","GO:0006508, GO:0030163, GO:0004190, GO:0008233","HUB"
"ppt_139664","A0A0K0M765tr=ZF1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0016567, GO:0004842, GO:0008270, GO:0016021","HUB"
"ppt_147539","EnsemblPlants:KEH30927} Medicago truncatula (Barrel medic) (Medicago tribuloides)","","HUB"
"ppt_202455","D5AB87tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0046983","HUB"
"ppt_163802","B9RA95tr=DNA binding protein, putative  Ricinus communis (Castor bean)","GO:0006468, GO:0004672, GO:0005524, GO:0008353, GO:0016740","HUB"
"ppt_126447","Q947C5sp=Non-symbiotic hemoglobin 1 Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)","GO:0015671, GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005737, GO:0016363","HUB"
"ppt_151198","A0A0C9QS87tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_12233_1915 transcribed RNA sequence  Wollemia nobilis","GO:0006817, GO:0055085, GO:0005315, GO:0016021","HUB"
"ppt_186903","Q6WSS0tr=Class IV chitinase Chia4-Pa1.1  Picea abies (Norway spruce) (Picea excelsa)","GO:0005975, GO:0006032, GO:0016998, GO:0004568, GO:0008061","HUB"
"ppt_214738","---NA---","","HUB"
"ppt_46903","D7M9N0sp=GATA transcription factor  Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)","GO:0005488","HUB"
"ppt_204058","Q40374sp=Pathogenesis-related protein PR-1 Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0005615","HUB"
"ppt_239109","W9S5C1tr=ABC transporter G family member 22  Morus notabilis","GO:0005524, GO:0016887, GO:0016021","HUB"
"ppt_62769","---NA---","","HUB"
"ppt_41624","A9NW55tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0055085, GO:0000166, GO:0042626, GO:0005886, GO:0016021","HUB"
"ppt_114819","---NA---","","HUB"
"ppt_200950","---NA---","","HUB"
"ppt_78193","A9NSW3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_163159","A0A072TMT1tr=RING zinc finger protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0008270","HUB"
"ppt_247144","V4SPX8tr=Uncharacterized protein  Citrus clementina","GO:0016020","HUB"
"ppt_190089","---NA---","","HUB"
"ppt_206608","---NA---","","HUB"
"ppt_247950","---NA---","","HUB"
"ppt_126453","U5GVI5tr=Uncharacterized protein  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","","HUB"
"ppt_43911","---NA---","","HUB"
"ppt_153589","---NA---","","HUB"
"ppt_22393","A0A072USG4tr=Cullin 3B  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006511, GO:0016567, GO:0004842, GO:0031625, GO:0031461","HUB"
"ppt_177368","B8LRP4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0005886, GO:0009506","HUB"
"ppt_234839","---NA---","","HUB"
"ppt_62460","O22808sp=Protein LYK5 Arabidopsis thaliana (Mouse-ear cress)","GO:0045087, GO:0071323, GO:0008061, GO:0042803, GO:0005886","HUB"
"ppt_120156","A0A0B0NPL0tr=Chromatin assembly factor 1 subunit A-B  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006325","HUB"
"ppt_211255","A0A061EKJ1tr=Eukaryotic aspartyl protease family protein isoform 1  Theobroma cacao (Cacao) (Cocoa)","GO:0006508, GO:0030163, GO:0004190, GO:0008233","HUB"
"ppt_51113","---NA---","","HUB"
"ppt_124860","D8T797tr=ATP-binding cassette transporter  Selaginella moellendorffii (Spikemoss)","GO:0000166, GO:0016020","HUB"
"ppt_226114","D5A987tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_202456","A0A151S063tr=Transcription factor bHLH62  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006355, GO:0003700, GO:0046983, GO:0005634","HUB"
"ppt_194628","A0A0C9S4T9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_22350_939 transcribed RNA sequence  Wollemia nobilis","GO:0045454","HUB"
"ppt_51806","U5GHJ2tr=Multi-copper oxidase type 1 family protein  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0005886","HUB"
"ppt_155884","---NA---","","HUB"
"ppt_206612","---NA---","","HUB"
"ppt_133953","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_129660","A0A061G286tr=Kinase superfamily protein, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0005488, GO:0016301","HUB"
"ppt_250085","A0A0C9S8A9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11827_1539 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_237116","Q9SZ90sp=Endoglucanase 18 Arabidopsis thaliana (Mouse-ear cress)","GO:0000272, GO:0009987, GO:0004553","HUB"
"ppt_199957","---NA---","","HUB"
"ppt_220400","---NA---","","HUB"
"ppt_230053","A0A1D1XD48tr=High mobility group B protein 7  Anthurium amnicola","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_147543","EnsemblPlants:KEH30927} Medicago truncatula (Barrel medic) (Medicago tribuloides)","","HUB"
"ppt_213192","---NA---","","HUB"
"ppt_74545","---NA---","","HUB"
"ppt_139743","---NA---","","HUB"
"ppt_135665","EnsemblPlants:GLYMA11G27490.1} Glycine max (Soybean) (Glycine hispida)","GO:0016413, GO:0005794","HUB"
"ppt_230048","A0A1D1XD48tr=High mobility group B protein 7  Anthurium amnicola","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_165120","---NA---","","HUB"
"ppt_161401","A0A0G7ZNS8tr=Cytochrome P450 CYP78A141v1  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_35672","A0A1D1XJL0tr=Receptor-like protein kinase  Anthurium amnicola","GO:0016301","HUB"
"ppt_230052","A0A0B2RSG0tr=High mobility group B protein 7  Glycine soja (Wild soybean)","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_118237","---NA---","","HUB"
"ppt_135809","---NA---","","HUB"
"ppt_197242","---NA---","","HUB"
"ppt_91339","Q42656sp=Alpha-galactosidase Coffea arabica (Arabian coffee)","GO:0005975, GO:0052692","HUB"
"ppt_188424","A9NUB5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_76949","B9RQ88tr=BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1, putative  Ricinus communis (Castor bean)","GO:0016310, GO:0000166, GO:0004672, GO:0016020","HUB"
"ppt_159519","Q10PL5sp=Inositol-tetrakisphosphate 1-kinase 2  Oryza sativa subsp. japonica (Rice)","GO:0047484, GO:0052746, GO:0000166, GO:0046872, GO:0047325, GO:0052725, GO:0052726, GO:0005829","HUB"
"ppt_163158","A0A072TMT1tr=RING zinc finger protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0008270","HUB"
"ppt_196453","A0A0C9RHL1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_21777_2041 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_76939","V7C0Z8tr=Uncharacterized protein  Phaseolus vulgaris (Kidney bean) (French bean)","GO:0006468, GO:0004672, GO:0005524, GO:0016020, GO:0016021","HUB"
"ppt_247506","---NA---","","HUB"
"ppt_89043","A9P158tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_41626","A9NW55tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0055085, GO:0000166, GO:0042626, GO:0005886, GO:0016021","HUB"
"ppt_230054","A0A1D1XD48tr=High mobility group B protein 7  Anthurium amnicola","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_100847","---NA---","","HUB"
"ppt_95570","A0A0C9S4Z8tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13508_1027 transcribed RNA sequence  Wollemia nobilis","GO:0009057","HUB"
"ppt_165121","---NA---","","HUB"
"ppt_56270","---NA---","","HUB"
"ppt_154469","---NA---","","HUB"
"ppt_135663","EnsemblPlants:GLYMA11G27490.1} Glycine max (Soybean) (Glycine hispida)","GO:0016413, GO:0005794","HUB"
"ppt_255785","A0A0G7ZNW9tr=Cytochrome P450 CYP92A40  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_134009","---NA---","","HUB"
"ppt_143496","A0A151RTN0tr=Putative spermidine synthase  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006596, GO:0009926, GO:0048759, GO:0010487, GO:0016768, GO:0005737","HUB"
"ppt_135667","EnsemblPlants:GLYMA11G27490.1} Glycine max (Soybean) (Glycine hispida)","GO:0016413, GO:0005794","HUB"
"ppt_220401","---NA---","","HUB"
"ppt_82318","---NA---","","HUB"
"ppt_214727","---NA---","","HUB"
"ppt_41156","B9IB54tr=DNA replication helicase family protein  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","GO:0006259, GO:0006260, GO:0016787, GO:0097159, GO:1901363, GO:0005622, GO:0110165","HUB"
"ppt_214736","---NA---","","HUB"
"ppt_143492","A0A151RTN0tr=Putative spermidine synthase  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0009926, GO:0048759, GO:0010487, GO:0016768, GO:0005737","HUB"
"ppt_144047","Q8L8J0tr=TIR/P-loop/LRR  Pinus taeda (Loblolly pine)","GO:0007165","HUB"
"ppt_62762","---NA---","","HUB"
"ppt_35670","A0A1D1XJL0tr=Receptor-like protein kinase  Anthurium amnicola","GO:0016740","HUB"
"ppt_147195","---NA---","","HUB"
"ppt_173783","---NA---","","HUB"
"ppt_268787","---NA---","","HUB"
"ppt_167880","O65013tr=Pollen allergen  Pinus radiata (Monterey pine) (Pinus insignis)","GO:0005576","HUB"
"ppt_152102","A0A0M0J2S5tr=Regulator of nonsense transcripts 1-like protein  Chrysochromulina sp. CCMP291","GO:0000184, GO:0003677, GO:0004386, GO:0005524, GO:0008270, GO:0016787, GO:0005737","HUB"
"ppt_196457","A0A0C9RHL1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_21777_2041 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_186776","---NA---","","HUB"
"ppt_167879","O65013tr=Pollen allergen  Pinus radiata (Monterey pine) (Pinus insignis)","GO:0005576","HUB"
"ppt_72824","Q8GU32tr=Putative auxin induced cell wall protein  Pinus pinaster (Maritime pine)","","HUB"
"ppt_182952","Q8GWQ2sp=AT-hook motif nuclear-localized protein 20  Arabidopsis thaliana (Mouse-ear cress)","GO:0045824, GO:0050794, GO:1900425, GO:0003677, GO:0110165","HUB"
"ppt_204059","Q40374sp=Pathogenesis-related protein PR-1 Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0005615","HUB"
"ppt_147191","---NA---","","HUB"
"ppt_196454","A0A0C9RHL1tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_21777_2041 transcribed RNA sequence  Wollemia nobilis","GO:0016020","HUB"
"ppt_72825","Q8GU32tr=Putative auxin induced cell wall protein  Pinus pinaster (Maritime pine)","","HUB"
"ppt_149648","EnsemblPlants:AES75324} Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0003682","HUB"
"ppt_211086","A0A0C9QP87sp=Hexosyltransferase  Wollemia nobilis","GO:0006012, GO:0047216","HUB"
"ppt_46570","A0A0C9RSW6tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_14425_618 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_208261","---NA---","","HUB"
"ppt_147192","---NA---","","HUB"
"ppt_62265","---NA---","","HUB"
"ppt_230055","A0A1D1XD48tr=High mobility group B protein 7  Anthurium amnicola","GO:0010197, GO:0003677, GO:0005634","HUB"
"ppt_155247","B8LMR5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","HUB"
"ppt_226590","A0A0B2PHB4sp=Histone H2A  Glycine soja (Wild soybean)","GO:0006342, GO:0003677, GO:0046982, GO:0000786, GO:0000790","HUB"
"ppt_180951","A0A0B0MWH8tr=Syntaxin-43-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006886, GO:0006906, GO:0048278, GO:0000149, GO:0005484, GO:0012505, GO:0016021, GO:0031201","HUB"
"ppt_180950","A0A0B0MWH8tr=Syntaxin-43-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006886, GO:0006906, GO:0048278, GO:0000149, GO:0005484, GO:0012505, GO:0016021, GO:0031201","HUB"
"ppt_182563","A9NVW4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0016020, GO:0016021","HUB"
"ppt_150948","B8LMX6tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0046983","HUB"
"ppt_106391","---NA---","","HUB"
"ppt_126446","Q947C5sp=Non-symbiotic hemoglobin 1 Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)","GO:0015671, GO:0005344, GO:0019825, GO:0020037, GO:0046872, GO:0005737, GO:0016363","HUB"
"ppt_143493","A0A151RTN0tr=Putative spermidine synthase  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006596, GO:0010087, GO:0016765","HUB"
"ppt_127943","A0A0C9RIE7tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_17198_659 transcribed RNA sequence  Wollemia nobilis","GO:0016567, GO:0008270, GO:0046872, GO:0061630, GO:0016020, GO:0016021","HUB"
"ppt_255782","A0A0G7ZNQ8tr=Cytochrome P450 CYP92A105  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_187620","Q9FEG2sp=Tobamovirus multiplication protein 1 Arabidopsis thaliana (Mouse-ear cress)","GO:0046786, GO:0005515, GO:0009705","HUB"
"ppt_238450","---NA---","","HUB"
"ppt_147544","EnsemblPlants:KEH30927} Medicago truncatula (Barrel medic) (Medicago tribuloides)","","HUB"
"ppt_134010","---NA---","","HUB"
"ppt_81855","Q9ZVA5tr=Curculin-like (Mannose-binding) lectin family protein  Arabidopsis thaliana (Mouse-ear cress)","GO:0110165","HUB"
"ppt_232082","---NA---","","HUB"
"ppt_194910","A0A0C9QR68tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13132_1327 transcribed RNA sequence  Wollemia nobilis","GO:0005975, GO:0004553","HUB"
"ppt_164566","K4BX30tr=Uncharacterized protein  Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","","HUB"
